Pokemon,Type,Species,Height,Weight,Abilities,Catch Rate,Base Exp,Growth Rate,Gender,HP Base,Attack Base,Defense Base,Special Attack Base,Special Defense Base,Speed Base
Abomasnow,"Grass, Ice",Frost Tree Pokémon,2.2 m (7′03″),135.5 kg (298.7 lbs),"1. Snow Warning, Soundproof (hidden ability)","60 (7.8% with PokéBall, full HP)",173,Slow,"50% male, 50% female",90,92,75,92,85,60
Abra,Psychic,Psi Pokémon,0.9 m (2′11″),19.5 kg (43.0 lbs),"1. Synchronize, 2. Inner Focus, Magic Guard (hidden ability)","200 (26.1% with PokéBall, full HP)",62,Medium Slow,"75% male, 25% female",25,20,15,105,55,90
Absol,Dark,Disaster Pokémon,1.2 m (3′11″),47.0 kg (103.6 lbs),"1. Pressure, 2. Super Luck, Justified (hidden ability)","30 (3.9% with PokéBall, full HP)",163,Medium Slow,"50% male, 50% female",65,130,60,75,60,75
Accelgor,Bug,Shell Out Pokémon,0.8 m (2′07″),25.3 kg (55.8 lbs),"1. Hydration, 2. Sticky Hold, Unburden (hidden ability)","75 (9.8% with PokéBall, full HP)",173,Medium Fast,"50% male, 50% female",80,70,40,100,60,145
Aegislash Shield Forme,"Steel, Ghost",Royal Sword Pokémon,1.7 m (5′07″),53.0 kg (116.8 lbs),1. Stance Change,"45 (5.9% with PokéBall, full HP)",234,Medium Fast,"50% male, 50% female",60,50,140,50,140,60
Aegislash Blade Forme,"Steel, Ghost",Royal Sword Pokémon,1.7 m (5′07″),53.0 kg (116.8 lbs),1. Stance Change,"45 (5.9% with PokéBall, full HP)",234,Medium Fast,"50% male, 50% female",60,140,50,140,50,60
Aerodactyl,"Rock, Flying",Fossil Pokémon,1.8 m (5′11″),59.0 kg (130.1 lbs),"1. Rock Head, 2. Pressure, Unnerve (hidden ability)","45 (5.9% with PokéBall, full HP)",180,Slow,"87.5% male, 12.5% female",80,105,65,60,75,130
Aggron,"Steel, Rock",Iron Armor Pokémon,2.1 m (6′11″),360.0 kg (793.7 lbs),"1. Sturdy, 2. Rock Head, Heavy Metal (hidden ability)","45 (5.9% with PokéBall, full HP)",239,Slow,"50% male, 50% female",70,110,180,60,60,50
Aipom,Normal,Long Tail Pokémon,0.8 m (2′07″),11.5 kg (25.4 lbs),"1. Run Away, 2. Pickup, Skill Link (hidden ability)","45 (5.9% with PokéBall, full HP)",72,Fast,"50% male, 50% female",55,70,55,40,55,85
Alakazam,Psychic,Psi Pokémon,1.5 m (4′11″),48.0 kg (105.8 lbs),"1. Synchronize, 2. Inner Focus, Magic Guard (hidden ability)","50 (6.5% with PokéBall, full HP)",225,Medium Slow,"75% male, 25% female",55,50,45,135,95,120
Alcremie,Fairy,Cream Pokémon,0.3 m (1′00″),0.5 kg (1.1 lbs),"1. Sweet Veil, Aroma Veil (hidden ability)","100 (13.1% with PokéBall, full HP)",173,Medium Fast,"0% male, 100% female",65,60,75,110,121,64
Alomomola,Water,Caring Pokémon,1.2 m (3′11″),31.6 kg (69.7 lbs),"1. Healer, 2. Hydration, Regenerator (hidden ability)","75 (9.8% with PokéBall, full HP)",165,Fast,"50% male, 50% female",165,75,80,40,45,65
Altaria,"Dragon, Flying",Humming Pokémon,1.1 m (3′07″),20.6 kg (45.4 lbs),"1. Natural Cure, Cloud Nine (hidden ability)","45 (5.9% with PokéBall, full HP)",172,Erratic,"50% male, 50% female",75,70,90,70,105,80
Amaura,"Rock, Ice",Tundra Pokémon,1.3 m (4′03″),25.2 kg (55.6 lbs),"1. Refrigerate, Snow Warning (hidden ability)","45 (5.9% with PokéBall, full HP)",72,Medium Fast,"87.5% male, 12.5% female",77,59,50,67,63,46
Ambipom,Normal,Long Tail Pokémon,1.2 m (3′11″),20.3 kg (44.8 lbs),"1. Technician, 2. Pickup, Skill Link (hidden ability)","45 (5.9% with PokéBall, full HP)",169,Fast,"50% male, 50% female",75,100,66,60,66,115
Amoonguss,"Grass, Poison",Mushroom Pokémon,0.6 m (2′00″),10.5 kg (23.1 lbs),"1. Effect Spore, Regenerator (hidden ability)","75 (9.8% with PokéBall, full HP)",162,Medium Fast,"50% male, 50% female",114,85,70,85,80,30
Ampharos,Electric,Light Pokémon,1.4 m (4′07″),61.5 kg (135.6 lbs),"1. Static, Plus (hidden ability)","45 (5.9% with PokéBall, full HP)",255,Medium Slow,"50% male, 50% female",90,75,85,115,90,55
Annihilape,"Fighting, Ghost",Rage Monkey Pokémon,1.2 m (3′11″),56.0 kg (123.5 lbs),"1. Vital Spirit, 2. Inner Focus, Defiant (hidden ability)","45 (5.9% with PokéBall, full HP)",268,Medium Fast,"50% male, 50% female",110,115,80,50,90,90
Anorith,"Rock, Bug",Old Shrimp Pokémon,0.7 m (2′04″),12.5 kg (27.6 lbs),"1. Battle Armor, Swift Swim (hidden ability)","45 (5.9% with PokéBall, full HP)",71,Erratic,"87.5% male, 12.5% female",45,95,50,40,50,75
