Num,Name,Type1,Type2,GenderRatio (M),GenderRatio (F),BaseStats (HP),BaseStats (Atk),BaseStats (Def),BaseStats (Spa),BaseStats (Spd),BaseStats (Spe),Abilities,Height (m),Weight (kg),Color,Prevo,EvoLevel,Evos
1,Bulbasaur,Grass,Poison,0.875,0.125,45,49,49,65,65,45,0: Overgrow H: Chlorophyll,0.7,6.9,Green,None,Base,Ivysaur
2,Ivysaur,Grass,Poison,0.875,0.125,60,62,63,80,80,60,0: Overgrow H: Chlorophyll,1,13,Green,Bulbasaur,16,Venusaur
3,Venusaur,Grass,Poison,0.875,0.125,80,82,83,100,100,80,0: Overgrow H: Chlorophyll,2,100,Green,Ivysaur,32,None
4,Charmander,Fire,null,0.875,0.125,39,52,43,60,50,65,0: Blaze H: Solar Power,0.6,8.5,Red,None,Base,Charmeleon
5,Charmeleon,Fire,null,0.875,0.125,58,64,58,80,65,80,0: Blaze H: Solar Power,1.1,19,Red,Charmander,16,Charizard
6,Charizard,Fire,Flying,0.875,0.125,78,84,78,109,85,100,0: Blaze H: Solar Power,1.7,90.5,Red,Charmeleon,36,None
7,Squirtle,Water,null,0.875,0.125,44,48,65,50,64,43,0: Torrent H: Rain Dish,0.5,9,Blue,None,Base,Wartortle
8,Wartortle,Water,null,0.875,0.125,59,63,80,65,80,58,0: Torrent H: Rain Dish,1,22.5,Blue,Squirtle,16,Blastoise
9,Blastoise,Water,null,0.875,0.125,79,83,100,85,105,78,0: Torrent H: Rain Dish,1.6,85.5,Blue,Wartortle,36,None
10,Caterpie,Bug,null,0.5,0.5,45,30,35,20,20,45,0: Shield Dust H: Run Away,0.3,2.9,Green,None,Base,Metapod
11,Metapod,Bug,null,0.5,0.5,50,20,55,25,25,30,0: Shed Skin,0.7,9.9,Green,Caterpie,7,Butterfree
12,Butterfree,Bug,Flying,0.5,0.5,60,45,50,90,80,70,0: Compound Eyes H: Tinted Lens,1.1,32,White,Metapod,10,None
13,Weedle,Bug,Poison,0.5,0.5,40,35,30,20,20,50,0: Shield Dust H: Run Away,0.3,3.2,Brown,None,Base,Kakuna
14,Kakuna,Bug,Poison,0.5,0.5,45,25,50,25,25,35,0: Shed Skin,0.6,10,Yellow,Weedle,7,Beedrill
15,Beedrill,Bug,Poison,0.5,0.5,65,90,40,45,80,75,0: Swarm H: Sniper,1,29.5,Yellow,Kakuna,10,None
16,Pidgey,Normal,Flying,0.5,0.5,40,45,40,35,35,56,0: Keen Eye 1: Tangled Feet H: Big Pecks,0.3,1.8,Brown,None,Base,Pidgeotto
17,Pidgeotto,Normal,Flying,0.5,0.5,63,60,55,50,50,71,0: Keen Eye 1: Tangled Feet H: Big Pecks,1.1,30,Brown,Pidgey,18,Pidgeot
18,Pidgeot,Normal,Flying,0.5,0.5,83,80,75,70,70,101,0: Keen Eye 1: Tangled Feet H: Big Pecks,1.5,39.5,Brown,Pidgeotto,36,None
19,Rattata,Normal,null,0.5,0.5,30,56,35,25,35,72,0: Run Away 1: Guts H: Hustle,0.3,3.5,Purple,None,Base,Raticate
19,Rattata-Alola,Dark,Normal,0.5,0.5,30,56,35,25,35,72,0: Gluttony 1: Hustle H: Thick Fat,0.3,3.8,Black,None,Base,Raticate-Alola
20,Raticate,Normal,null,0.5,0.5,55,81,60,50,70,97,0: Run Away 1: Guts H: Hustle,0.7,18.5,Brown,Rattata,20,None
20,Raticate-Alola,Dark,Normal,0.5,0.5,75,71,70,40,80,77,0: Gluttony 1: Hustle H: Thick Fat,0.7,25.5,Black,Rattata-Alola,20,None
21,Spearow,Normal,Flying,0.5,0.5,40,60,30,31,31,70,0: Keen Eye H: Sniper,0.3,2,Brown,None,Base,Fearow
22,Fearow,Normal,Flying,0.5,0.5,65,90,65,61,61,100,0: Keen Eye H: Sniper,1.2,38,Brown,Spearow,20,None
23,Ekans,Poison,null,0.5,0.5,35,60,44,40,54,55,0: Intimidate 1: Shed Skin H: Unnerve,2,6.9,Purple,None,Base,Arbok
24,Arbok,Poison,null,0.5,0.5,60,95,69,65,79,80,0: Intimidate 1: Shed Skin H: Unnerve,3.5,65,Purple,Ekans,22,None
